title,review
Super Cub,"""You Meet the Nicest People on a Honda"" - The Hondells in 1965The little Cub, is not just a mere transport tool for getting people from A to B, but it brings new discoveries, new locations, new people, and of all, new experiences.  And this is exactly what this anime demonstrates beautifully.The anime depicts our introverted, grey orphan heroine Koguma, who cycles everyday to school in the small, uneventful, rural town of Hokuto in the Yamanashi, who one day, after seeing her fellow classmate riding to school in a scooter, decides to take the first leap of change by impulsively looking at...cheap mopeds. While most were out of her budget, the shop owner sells her the cheapest Honda Super Cub, a 50cc modped for 10,000 yen (63 euros, 52 pounds, or 66 USD at the time of writing).  And thus, her motorcycling adventure life begins.Super Cub, is not exactly the most original anime, nor is it the most though-provoking, nor is it action-packed.  But what it does bring to the table, is the calmness of everyday life, the little adventures of learning something new, going down a different path compared to your peers, making new friends, and most of all, turning from a grey, to a colourful day.Like the Cub, it takes things very slow, and this is the show's greatest strength.  Life is a journey, taken one step at a time.  Appreciate the little moments, reflect, living in the moment.  This is what this anime represents, the essence of what it could be like to own, and daily ride a little Cub in your high school years.  You're not going on crazy adventures, but the ownership of a Cub, gives you a much greater and wider reach compared to your peers.  And that, in itself, is the adventure.  The adventure of being different, doing something a little bit differently, can bring you great joy, a new found hobby and appreciation in life.  The distillation of the idea, ""freedom of mobility"".There is also the flip side to it.  Not everything is seen through the rose-tinted glass of bike ownership here.  The greatest enemy to any biker (and convertible owner) is the weather.  It can be brutally hot in the summer, the torrential rain of the autumn, the frigid, snowy winter months.  But as spring rolls around, and as the days starts to get longer, you start to remember and embrace this lifestyle/hobby.  And this anime is no exception.  The pain and wallet draining lifestyle.Perhaps it's just me, but being a train and car enthusiast, the idea of travelling literally, the act of moving from A to B in itself, was the adventure.  And as I got older, the concept of ""freedom of mobility"" resonates with me much more.  Being able to go anywhere, whenever, and however I wish.  Taking one road over the other (which was beautifully demonstrated in ep6), finding a new bakery, a new scenic spot, or a nice woodland walk.  While they were accessible when your parents took you there, but here, you can do it yourself.The music choice also compliments this show wonderfully too.  It's very soft, melodious usually, often complimenting the monotony of everyday life.  The cheery, primarily piano backing OST, uplifts the scenes, accompanied by the gentle purring of the single cylindered engine Cub.  The occasional classical music scores were a welcome addition too.If I had to condense it to just one word, I would say this is one of he most ""atmospheric"" anime I have watched in a very long time, and I embrace i with open arms, as I welcome it potentially as my top ten anime."
Jin Zhan Fashi,"I wasn't expecting much honestly, but it's surprisingly fun. Not as smooth as King's Avatar, but if you enjoyed that, you'd probably enjoy this too. The 3d cgi of the game's world bothers me a little, since I'm definitely more of a fan of 2D animation than 3D, but it's enjoyable enough anyway. admittedly the animation quality itself might not be as good as some others in the 8 tier, but I had a lot of fun watching, so it deserved higher than 7Premise is that the MC is a college P.E. teacher who really love martial arts, super dedicated and passionate, but he struggles...getting others interested in it in the current day and age. one of his initial students gets him into the game, binding him as a mage - and then he proceeds to do martial arts instead. shenanigans happen. ye xiu-brand chaos ensues.The characters are fairly fun - the interactions between the Elite Guild, as well as the MC and his ducklings/students are fairly amusing. I gotta say, Sword Ghost (jian gui) is probs my fave character - he's so cute and his va did *such* a good job.fair warning - the sub translations can be kind of iffy at times - most of the time, they do get the point across, albeit some nuances might be lost if you don't understand Chinese, but at some points they don't make that much sense, so keep that in mindAll in all, this is a pretty decent donghua to binge, but don't really expect too-complex plot like bungou or the likeupdate: just realized the original novel was also written by butterfly blue, which definitely explains why I kept getting king's avatar vibes"
Goukon ni Ittara Onna ga Inakatta Hanashi,"This show raises questions:""Did the girls have a plan when they organized the mixer?""""Do they even look that different in drag?""""Where are there boundaries between customers and friends?""""Fellas, is it gay to be bi?""These questions may never be answered, but All-Guy's Mixer manages to keeping the guys flustered by relatable romance mishaps. The pacing of the season has given time to each drag-king to show how they experience their gender, their job, and their approach to dating. Other than the drag bar, the settings for these dates aren't unique, but the variety of personalities among the love-struck guys brings fresh charms."
Vinland Saga,"I think this anime is mostly fine if you are forgiving. It starts off with a very promising story, one that seems of vengeance, but then it turns out to be very different.I have a few problems with that spoil the fun though, they are:1. Thorfinn is a weak protagonist and a badly written one2. Young blonde guy (not Thorfinn) has changes personality too abruptly and it's an unreasonable part of the story, it's almost as if the guy becomes someone else3. Everyone's swearing loyalty to the new would-be king out of the blue is also nonsense4. The attitutes Askellad takes in the very last...episode seems not to make any sense. The consequence of that is even more nonsensicalAnd that's it. The writers seem adept at using plot devices that make no sense whatsoever and they use it to take the story into directions no one was expecting, and it is not in a good way.In the end the results are not very bad and I had fun watching the show, but this had so much potential to be a 10/10 like Sousou no Frieren, no flaws whatsoever, but the writers decided that was not supposed to happen and ruined the story almost completely"
Kaijuu 8-gou,"5.5/10 Decent action show with out the convoluted nonsense.This show was good to binge and I got through the 1st season in one sitting. Honestly this show doesnt bring too much new to the table and feels like a tried and true formula.- Decent enough animation, definitely sub par in fights to JJK or Chainsawman, but still pretty good.-- the action itself was decent enough, passed the better then DBZ test- The pacing was actually phenomenal, never felt slow or rushed- The plot was typical shoenen nonsense of being accepted and the best, but with friends- World building was acceptable and there...was very little exposition dumbs to bore you- Themes of fighting monsters was fine, w/ tech that seems logical enough- Charecters were all pretty standard with nothing to write home about, bit too many cardboard cutouts tho- Little to no good character development from the main cast- Comedy was funny in moments but not the selling point of the show- English Dub was actually above averageSomething to be said, is I weirdly got FMA original vibes from this one. I think it was the humor and pacing, bit unsure from that take but its what came to mind."
Toaru Ossan no VRMMO Katsudouki,"This series certainly is something, but not in a good sense, some very good elements, mixed in with some very bad elements, sprinkled with a whole lot of mediocrity averages out to, you might have guessed, incredibly mediocre. That in itself would not be a bad thing, as the series is mostly a slice of life and a bit of action, with some interesting fights, but I got the feeling the anime tries too hard to be something it 1. Never should have been and 2. Never took the necessary steps to become one. It takes itself too seriously at the wrong places, and not...seriously enough in the necessary places. For example, we have soke scenes with the developers dsicussing events that happened because of our MC, and they seem like some evil shadow organization, while literally nothing happens because of them, but we got some clues on their characters and maybe some intrigue against(?) the MCMinor spoil(this plot also goes nowhere in the anime, dont know about the manga, but it is also incredibly stupid, or I should say they are incredibly stupid).So to rate in a systematic manner:1. Story: Mediocre at best, its mostly a slice of life, so it is understandable that not much is happening sometimes, especially with the whole premise being that a middle aged salaryman playing to relax. But the anime only has two modes, either batshit insane thinga happen in quick succession (with zero plot supporting it, or anything really, it just happens out of thin air but completely changes the game the anime takes place in, like why?) or nothing happens other than some character interactions and some mild skill developing for whole episodes. Again, I dont mind nothing, I like SOL, I also dont mind if batshit insane things happen, but at least have the story actually support and either foreshadow, but at least pave the way for these thinga to happen, not just out of thin air. Also the story goes literally nowhere, but meh, I dont even care about that at this point.2. Art and music: I liked the music, it was not good, but it wasnt bad either, I think they used too little music, but I think it is a matter of taste. The art itself is nothinf out of the ordinary, lot of still shots, with (luckily very little) cgi scenes, especially when there is some people who are not main characters just strolling trough the scenes (I personally noticed 3 such scenes, so not much), luckily the fights are animated normally. So mediocre again.3. Worldbuilding: Kinda ties ino the story, but we got very little info on the world itself, I wrote it up to the slight mystery of the characters and the watchers not knowing fully if its really a game or a game that goes to another real world situation (at the last episodes we get massive clues about this, but I dont want to spoil, also it is not that big of a mystery, I think it was more lazy writing than masterful suspense), but I cant just chalk it up to that, especially when adventuring should be the focus of the story. The anime tries several times to build something but it fails under its own (feeble) weight at that.4. Characters:Now this is where the anime really bleeds out, if there characters would be great, or at least good, the other things I mentioned would have been forgotten (at least by me), but no.Lets start with our MC, who is an obnoxious little shit, having both the mental capacity to make Einstein fear the dark and the capacity of a somewhat retarded toddler trying and failing miserably to open a cookie jar. Examples for the first would be the skill and crafting system in the game, I liked those, and the MC actually got in those mostly without plot armor, it was more of a case of nobody tried it that hard or that way, rather than just straight up asspull ""he is suddenly better at shit skills than other people ever will be, because I said so"". Every character interaction (beside some minor NPC characters) and literally everything that happened in relation to the plot are examples of the latter. Dont even get me started on that we know nothing of his real life, other than some random tidbits (like he has or had depression because of the lack of exercise, and he has allegedly years of VR/MMO game experience). He is very rude to actually pretty good characters, like the Fairy queen, and the dragon girl. The comedy had some moments at the beginning (I want to be left alone, be unassuming = edgy ass bro) + (Fairy Queen loves me, but I only use her gifts and her assistance, but when she tries to comically spend time with me (usually.romantic) I slap her/bondage her/yell at her and run away. His interactions with the rest of the characters are not better, just more rare. We also never really get an established dynamic between the characters, but considering that the side characters have less screentime tham TenTen from Naruto and usually either disappear completely after their episode or just disappear for episodes completely, Im not suprised. They are also very 1 dimensional characters, which is very funny, when you arrive at the end you will see that the Fairy Queen is the best charavters in this shitshow, but she is not even a living being.So, all in all, if you want a slice of.life show with little progression, shit story, an ending that is more of a cliffhanger tham the 90's Stallone movie and shitty characters, I can recommend this. If you are turned off by either of those elements, or the combination of those, I would not recommend.I still gave it a 5, because the slice of life elements and the skill/crafting/progression system are actually pretty nicely done and made it enjoyable all in all, you just have to turn your brain off."
Shingeki no Kyojin Season 3,"Watching AOT for the first time in middle school was an experience, it changed a lot of how I saw anime and would put choices on top 10 lists. I always rewatch it every December to remember how good it really it because there's always details that get skimmed over and forgotten about. Love how well it was made and have enjoyed it since 2017. I recommend this to literally anyone who wants to start watching more or is interested in watching anime. It's a good first anime or even if it's not your first it'll definitely make you remember it."
Naruto: Shippuuden,"Throughout the first part and all of Shippuden, I had to endure the stupid MC and disgusting personality Sakura, which is definitely a downside. But I started watching Naruto as a kid, so it would have been a shame not to check it out. I mostly watched it for characters like Kakashi, Madara, and Sai, because these characters are really interesting, use their brains, and have something to convey, unlike the two mentioned characters. Generally, the world and story are interesting. If Naruto came out now, I wouldn't watch it because of too many useless episodes, but I watched it because of nostalgia. 9/10, and...of course, because of Madara, who remains one of the best ""villains"" in anime.I put the word 'villain' in quotation marks because his goal is the dream of every mature person a dystopia where people would be much happier than in the presented world"
Sousou no Frieren,"This is one of the best animes I have ever watched, and it is also the only anime I have commented on. The story is slow-paced but for me it is perfect.If I could, I would have rated it higher than 10. Whenever I see this, I cry because of how tragic this story is. There are some funny and sad moments in this anime, and like I said, the story was perfect.I would recommend it to anyone looking for adventure, romance, and action. The characters were perfect in their ways, the power scale I think was perfect and I think that everyone would enjoy...this anime."
Acro Trip,"After several delays here we have Acro Trip a comedy of magical girls a relaxing and fun plot that will take away your stress the plot will seem to you without surprise and you see from the first chapter that everyone becomes friends I would have liked it if the plot had been more serious because it gives for that but it fulfills its only objective of entertaining the public, all the characters will fall well as the songs of the OP and ED, the magical girl and her strawberry rose type suit is a charm you will also see the typical evil loli and...the animation is flexible and carefulif you are looking for this type of story I recommend it if not do not leave it for later watch it when all the chapters are on a quiet weekend on the couch"
Spy x Family Movie: Code: White,"I can only sum up this movie like this; give me my 2 hours backIt's absolutely skippable. You can consider it filler if you want. More Spy Family slice of life and that's about it. It's a self contained story that doesn't really change, add or remove anything from the main plot. They just wanted to make something to cash in more on the 'story"".Good points:- Anya's faces were the highlight of the movie for me. Very funny, cute and derpy- Some action scenes were decent (just don't expect Demon Slayer quality)Bad points:- It's filler, nothing important happens for the story...If you really just want more slice of life with Anya, watch it.If you just want to keep up with the main story, movie is completely skippable."
Shingeki no Kyojin: The Final Season Part 2,"There is no better anime that portrays the senselessness of war and how people always repeat the same patterns, especially as the ending confirms this. It’s the best anime ever made in terms of animation, emotional depth, and message. I highly recommend watching Grave of the Fireflies after this production if someone still lacks an understanding of what war truly is and the damage it causes, especially to ordinary people. I know the final season was criticized, mainly because of Gabi, but in my opinion, it does a great job of showing the perspective of people outside the island. Along the way, I also discovered...one of my favorite characters, Armin Arlert, who I believe has endured the most suffering, aside from Ymir Fritz, of course. Despite watching so many anime, I haven’t found a character who has gone through more pain than her."
Boku no Hero Academia,"My Hero Academia (MHA) isn't really special in any way. In fact, I would say that a non-filler version of Naruto is the exact same story but done better. This is not to say that Naruto doesn't have a plethora of faults, it's just that those faults also exist in My Hero Academia. This was one of my first anime and I got hooked on it for a long time. However, I later watched Naruto and I suddenly realized that everything I thought was original, actually wasn't.This is a review of the first season, but I will also compare it to later seasons because I...don't think the average person is ready to read 7 reviews.THE GOOD:----------------The superpower aspect is interesting in this season and the second. Since Izuku struggles to control his newfound power, it leads to interesting situations where he relies on wit, analysis and resourcefulness rather than brute force power. Izuku's power is also built up in an interesting way. It's superhuman strength, but it comes with physical drawbacks to using that strength. Furthermore, it is clever that the main struggle for Izuku is throttling his power output. This makes sense since Izuku was not born with his power, but inherited it.The theme of ""inherited hope"" is not an original one, but it's still a good one. It is also done well here.There were also some pretty enjoyable moments hidden in there. All Might is a pretty enjoyable character. That's all I can think of for now.THE BAD (a lot):---------------The characters are horrible and the way they interact with each other is unreal. They also have pretty much only one trait and everything they do is based on that one character trait. Everyone is as flat as a pancake but not nearly as enjoyable. Let us examine two characters: Bakugo and Mineta. Bakugo is a talented superhero, but he is a massive asshole. His abrasiveness and rudeness is written in such an exaggerated and unrealistic way that he pretty much acts like a deranged lunatic most of the time. How does the class react to having such a menace with them? Not much really. You get a few comments like ""Wow you are rude"" and they move on. If Bakugo existed in real life, he would be beaten up behind the school daily. Honestly, that scenario would have even made for some good character development. But of course, that doesn't happen here.Mineta needs some unpacking. His sole personality trait is that he's a pervert. As they say ""he wants only one thing and it's disgusting."" The way he acts towards his female classmates is sometimes criminal. He will grope them when given the chance, he tries to peek on them whenever they are naked or changing, he tries to get their underwear, etc. How does the class react? They tolerate him for some reason. Even though he is a menace to all women, they are completely fine with him.Almost all characters are like this. Izuku's personality is I want to be a hero. Ochako's personality is I am nice. Tenya is strict, Tsuyu is honest, etc. They all operate based on this one personality trait they have. I am okay with villains who are boring. I don't think every villain needs to have an intricate backstory. However, for the sake of completeness, it is worth mentioning that the big villains are just evil for the sake of being evil.THE UGLY (fanservice):----------------Fanservice is not a ""thing that happens"" in MHA. It is just constantly there. Most girls are drawn with massive bazookas for absolutely no reason. They also make sure that you get to see the definition and curvature pretty accurately. When they wear their hero outfits, it only accentuates their cleavage. Ochako wears a really tight suit. Mt. Lady wears and even tighter suit. Momo straight up reveals her sideboobs when wearing the uniform, which is very strange since she's the prim and proper lady archetype.The worst offender is the character known as Midnight. She wears a very skimpy suit that gets torn very easily. It has a leather strap that presses on her chest, revealing cleavage even further. She has a whip for the dominatrix fetishists. Also, she makes some really sussy references to how ""youthful"" the boys are acting and it's as if they turn her on. Somehow, this is not a comedic relief character but a serious one.Almost all women characters in MHA are participating in fanservice. By that, I mean I can only remember 2 characters that aren't fanserviced. It's just a spectrum of how egregious it gets. Hell, even the girl who is permanently invisible shows massive boobs when she's wearing her school uniform.CONCLUSION:------------------I give it a 5 begrudgingly. The fanservice and characters are unforgivable, but I don't want to discredit it too much and rate it as bad as other hot garbage anime. It did have some good moments in seasons 1 and 2 after all. Keep in mind that later seasons drop off in quality."
Dandadan,"I waited a whole year for this anime to release and they come out with ONLY 12 episodes!!!!!!Anyways, this anime is hilarious. The story follows a boy who believes in the aliens, but not ghosts. And a girl who believes in ghost, but not aliens. And they become friends through a series of events that they become involved in. And apparently both ghost and aliens exist in this word. 🤷🏻‍♀️✨The art is amazing and so is the animation. I would highly recommend picking up the manga because this artist is soooo good. I was blown away by the art at NY Comic con last year...and since then I have been following it.I started watching this anime, knowing that there are a lot of sexualized situations so I wasn’t taken aback watching that in the anime. But I totally understand if some people are thrown off by it. Even when I went to buy the manga, the shopkeeper was like, “are you sure you wanna buy this?” And I was like, “Yeah I’m buying it for the art and the story is great.”So if you watch this anime and can appreciate how absurd and hilarious it is, with great storytelling and endearing characters, you will really enjoy it. It’s like a fun version of Jujutsu Kaisen, with no stress and no one dying (well not in the present). There is no other anime like this one out there. Definitely give it a try else you’re missing out. 😉"
Natsu-iro no Sunadokei,"This is a fun little OVA that is strongly reminiscent of the era in which it was made, conjuring up nostalgic memories of the medium as it was in 2004. This largely unremarkable OVA, more an advertisement for its associated visual novel, still serves as this kind of time capsule for the cultural atmosphere anime existed in back then, as it was going through the first upheavals of a transition to digital animation, and found itself distinctly within the cultural moment known as the ""moe boom"". Indeed, I'd say much of this anime's value comes in the form of its capacity as an artistic and...cultural artifact, but now that that's been addressed, Hourglass of Summer Colors must be examined on its own merits.Beginning with the story, which is this anime's strongest point, I feel it holds some more substance than many fleeting OVAs of a similar type. It wrestles with time travel, a famously sticky and unmanageable subject, with caution and ease, settling on a system that makes a good deal of sense all things considered. With that out of the way, it goes on to tell a pretty typical school romance story in a dramatic, engaging, and touching way. I quite liked the story, though the brevity of this title really hinders its sense of continuity, with jarring jumps between certain events and explanations only made after the fact.The art is quite nostalgic, meeting all basic standards of quality for the time, complete with the old lovable tropes in terms of character design and how it employs humor. It exudes that clean, colorful aesthetic of the 2000s, and makes heavy use of that chibi-esque, 2chan emoticon facial style for funny moments and misunderstandings, which I found both funny and very nostalgic, as I remember back when that sort of thing was completely inseparable from anime comedy as a whole.The sound exists in a similar fashion, meeting all basic standards of quality once again, complete with the somewhat melodramatic VA work of the time period, with a very specific inflection that they applied to their work at that time. It's hard to exactly place my finger on it, but there's something in the way they speak here that definitively dates it to this time period, and many other 2000s titles, too. Perhaps it's just an unmentioned stylistic aspect, but I noticed and enjoyed it, as it brought me back to sitting in front of the TV at all hours of the night watching any anime I could find in no particular order.The characters are good, if broadly typical for this kind of show, as they broadly serve to fulfill various archetypes, like the clingy childhood best friend who's secretly in love with the protagonist, the overpowered clutzy magic/sci-fi girl who's secretly love with the protagonist, the shy rich girl with strict parents and a kind soul who's secretly in love with the protagonist, and the protagonist who's just your every day high school guy that all these girls are inexplicably secretly in love with. Of them, Ligene and Mana Kawamura are my favorites, Ligene for being a funny, unique character that shakes up the story and honestly just makes the whole thing possible in the first place, and Mana for being a pretty well-written side character and, in comparison to the other options here, also best girl. As of the time of this writing I haven't played the visual novel, but I assume that her's is a potential route in the game. Overall, Hourglass of Summer Colors is a fun little romance OVA with a unique twist, even if it is rather formulaic by the standards of the time. At the end of the day, if you enjoy this era of anime then you'll likely enjoy this particular anime, at least to some extent. In fact, I'd say that a distinct appreciation for the era is probably required to get anything out of this title."
Netrun-mon the Movie,"Like someone else said, this will be interesting and enjoyable for the ones who are interested in old anime and all concerning to the ""old web"", if you are not interested in that difficultly gonna enjoy it and probably just gonna feel it like an bunch of nonsense and wondering why this was made.The character designs are great and that is mostly the principal attractive if you like ukagaka or moe, the story is just like some sort of excuse to show them but it's not a baaad story too!Would recommend to give it a try even if you are not into ""Old...anime"" or doujinshi media but you are gonna be losing the ""principal point""."
